,,
,,
,,
Nombre de la vivienda,Abanicos,
Dirección,"Calle Cernicalo 1, Corralejo. Apt 13",
Link maps,https://maps.app.goo.gl/bepKburz5N7iipRs6,
Link video,https://youtu.be/Q9xxcQC3OrQ,
Codigo Caja,2909,
Piscina,n/a,
Como llegar,,
,Taxi,(aprox) 65eur
,Te podemos llevar,(max 2p) 45eur
,Bus,L3+L6
Link Normas,https://maavsl.github.io/WEB1/reglas.html,
telefono,00 34 688 91 07 40,
Fotos,n/a,
Parking,n/a,
Basura,https://maps.app.goo.gl/V7EUAFzbMc9bKgib7,
Supermercados,https://maps.app.goo.gl/cGjzJr2b81mAhSiv6,
Playas y Actividades,https://visitfuerte.my.canva.site/mapa,
Restaurantes,https://maavsl.github.io/WEB1/restaurantes.html,
Fuerte en 7 dias,https://maavsl.github.io/WEB1/7dias.html,
