,,
,,
,,
Nombre de la vivienda,Refugio del Viento,
Dirección,"C. Islas Canarias, 38, 35610 Antigua, Las Palmas",
Link maps,https://maps.app.goo.gl/peuMuwFbfS2Nj7LL9,
Link video,,
Codigo Caja,5959,
Piscina,n/a,
Como llegar,,
,Taxi (aproximado),n/a
,Te podemos llevar (max 2 personas),n/a
,Bus,n/a
Link Normas,https://maavsl.github.io/WEB1/reglas.html,
telefono,00 34 688 91 07 40,
Fotos,,
Parking,https://maps.app.goo.gl/CMw7JhfVZgrxpZ1t8,
Basura,https://maps.app.goo.gl/sJMGsqNEX7YuHVVz9,
Supermercados,https://maps.app.goo.gl/dCMKveinncc2rfds5,
Playas y Actividades,https://visitfuerte.my.canva.site/mapa,
Restaurantes,https://maavsl.github.io/WEB1/restaurantes.html,
Fuerte en 7 dias,https://maavsl.github.io/WEB1/7dias.html,
