,,
,,
,,
Nombre de la vivienda,Ecuador,
Dirección,"Calle Ecuador, 6",
Link maps,https://maps.app.goo.gl/1d22pamL18HaefCZA,
Link video,n/a,
Codigo Caja,n/a,
Piscina,n/a,
Como llegar,,
,Taxi (aproximado),25eur
,Te podemos llevar (max 2 personas),n/a
,Bus,L3
Link Normas,https://maavsl.github.io/WEB1/reglas.html,
telefono,00 34 688 91 07 40,
Fotos,n/a,
Parking,n/a,
Basura,https://maps.app.goo.gl/m5jSL5bXcrKp349A7,
Supermercados,https://maps.app.goo.gl/83qxAoKYhjqjmkeG7,
Playas y Actividades,https://visitfuerte.my.canva.site/mapa,
Restaurantes,https://maavsl.github.io/WEB1/restaurantes.html,
Fuerte en 7 dias,https://maavsl.github.io/WEB1/7dias.html,
