,,
,,
,,
Nombre de la vivienda,Los Lagos Cotillo,
Dirección,"Av, Los lagos, 45. El Cotillo, no 10",
Link maps,https://maps.app.goo.gl/TDS7igau4LU7vRne9,
Link video,,
Codigo Caja,2992,
Piscina,n/a,
Como llegar,,
,Taxi,(aprox) 60 - 75eur
,Te podemos llevar,(max 2p) 50 eur
,Bus,L3+L6+L811
Link Normas,https://maavsl.github.io/WEB1/reglas.html,
telefono,00 34 688 91 07 40,
Fotos,,
Parking,https://maps.app.goo.gl/pbmYa4JXPJRiFDi9A,
Basura,,
Supermercados,https://maps.app.goo.gl/viY1zqPLDQe1qbK38,
Playas y Actividades,https://visitfuerte.my.canva.site/mapa,
Restaurantes,https://maavsl.github.io/WEB1/restaurantes.html,
Fuerte en 7 dias,https://maavsl.github.io/WEB1/7dias.html,
