,,
,,
,,
Nombre de la vivienda,Casa Margarita,
Dirección,"Calle Perdiz, 2. house/ casa 89",
Link maps,https://maps.app.goo.gl/dgcWZRp7GGKiCepH7,
Link video,youtube.com/watch?v=ixSCqY1iImk&feature=youtu.be,
Codigo Caja,173,
Piscina,"https://www.google.es/maps/place/28%C2%B042'34.2%22N+13%C2%B052'03.8%22W/@28.709494,-13.867717,972m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d28.709494!4d-13.867717?entry=ttu&g_ep=EgoyMDI2MDQyMi4wIKXMDSoASAFQAw%3D%3D",
Como llegar,,
,Taxi,(aprox) 65eur
,Te podemos llevar,(max 2p) 45eur
,Bus,L3+L6
Link Normas,https://maavsl.github.io/WEB1/reglas.html,
telefono,00 34 688 91 07 40,
Fotos,https://www.airbnb.es/rooms/815228374549283974?guests=1&adults=1&s=67&unique_share_id=322f3d0e-c094-4ace-a1b5-f17724b0d4c7&source_impression_id=p3_1777104949_P3Sohou7zzynTtA3&modal=PHOTO_TOUR_SCROLLABLE,
Parking,Parking privado en las instalaciones,
Basura,https://maps.app.goo.gl/xzBCwTH4acWeME1L9,
Supermercados,https://maps.app.goo.gl/n6zFaeUXXgxYt98H8,
Playas y Actividades,https://visitfuerte.my.canva.site/mapa,
Restaurantes,https://maavsl.github.io/WEB1/restaurantes.html,
Fuerte en 7 dias,https://maavsl.github.io/WEB1/7dias.html,
