,,
,,
,,
Nombre de la vivienda,La Perlita de Puerto Lajas,
Dirección,"Calle el Valbanera, 18 - Puerto Lajas",
Link maps,https://maps.app.goo.gl/1TgmpeakULSidy8Q8,
Link video,n/a,
Codigo Caja,0032,
Piscina,n/a,
Como llegar,,
,Taxi,(aprox) 25eur
,Te podemos llevar (max 2 personas),n/a
,Bus,L3+L6
Link Normas,https://maavsl.github.io/WEB1/reglas.html,
telefono,0034 688 91 07 40,
Fotos,https://www.airbnb.es/rooms/1112337321230296538?guests=1&adults=1&s=67&unique_share_id=8e3ea4a8-1281-43e6-b614-8ef5cb139aa9&source_impression_id=p3_1777099610_P3OP7xYzbU1i4mDZ&modal=PHOTO_TOUR_SCROLLABLE,
Parking,"By the door, same street",
Basura,https://maps.app.goo.gl/sMfCsi43Sutx5cct9,
Supermercados,https://maps.app.goo.gl/GGYr86o9nNpurqgW9,
Playas y Actividades,https://visitfuerte.my.canva.site/mapa,
Restaurantes,https://maavsl.github.io/WEB1/restaurantes.html,
Fuerte en 7 dias,https://maavsl.github.io/WEB1/7dias.html,
