,,
,,
,,
Nombre de la vivienda,Señorio,
Dirección,"Calle Doramas, 42, Caleta de Fuste",
Link maps,https://maps.app.goo.gl/s1T2bzdpCxWNeoPBA,
Link video,n/a,
Codigo Caja,n/a,
Como llegar,n/a,
Piscina,n/a,
,Taxi (aproximado),(aprox) 25eur
,Te podemos llevar (max 2 personas),n/a
,Bus,n/a
Link Normas,https://maavsl.github.io/WEB1/reglas.html,
telefono,00 34 688 91 07 40,
Fotos,n/a,
Parking,n/a,
Basura,https://maps.app.goo.gl/UqfNFQndqybgSfss9,
Supermercados,https://maps.app.goo.gl/RcrEnqTL6tDzGmcK8,
Playas y Actividades,https://visitfuerte.my.canva.site/mapa,
Restaurantes,https://maavsl.github.io/WEB1/restaurantes.html,
Fuerte en 7 dias,https://maavsl.github.io/WEB1/7dias.html,
