,,
,,
,,
Nombre de la vivienda,Casa Maravilla,
Dirección,"Calle Artemy, 23. Caleta de fuste, apt 83",
Link maps,https://maps.app.goo.gl/aRvRhzYQreneaDNW6,
Link video,https://www.canva.com/design/DAFGBz-6JJE/YFwyZBDyHBYog87cKeJuVA/watch?utm_content=DAFGBz-6JJE&utm_campaign=designshare&utm_medium=link&utm_source=publishsharelink,
Codigo Caja,1903,
Piscina,https://www.youtube.com/watch?v=k_Y9NKR9Ngs,
Como llegar,,
,Taxi,(aprox) 25eur
,Te podemos llevar (max 2 personas),n/a
,Bus,n/a
Link Normas,https://maavsl.github.io/WEB1/reglas.html,
telefono,00 34 688 91 07 40,
Fotos,n/a,
Parking,n/a,
Basura,https://maps.app.goo.gl/wLrudbEsinRcRS4U7,
Supermercados,https://maps.app.goo.gl/j7JAcNBFE49ddSfVA,
Playas y Actividades,https://visitfuerte.my.canva.site/mapa,
Restaurantes,https://maavsl.github.io/WEB1/restaurantes.html,
Fuerte en 7 dias,https://maavsl.github.io/WEB1/7dias.html,
