,,
,,
,,
Nombre de la vivienda,Artemy 49,
Dirección,"Calle Ayoze, 53, apt 49",
Link maps,https://maps.app.goo.gl/soFqs1zwEZ6fCTwp8,
Link video,https://youtu.be/1yl_fI5HkGo,
Codigo Caja,4116,
Piscina,https://www.youtube.com/watch?v=k_Y9NKR9Ngs,
Como llegar,,
,Taxi,(aprox) 25eur
,Te podemos llevar (max 2 personas),n/a
,Bus,n/a
Link Normas,https://maavsl.github.io/WEB1/reglas.html,
telefono,00 34 688 91 07 40,
Fotos,n/a,
Parking,n/a,
Basura,https://maps.app.goo.gl/wLrudbEsinRcRS4U7,
Supermercados,https://maps.app.goo.gl/j7JAcNBFE49ddSfVA,
Playas y Actividades,https://visitfuerte.my.canva.site/mapa,
Restaurantes,https://maavsl.github.io/WEB1/restaurantes.html,
Fuerte en 7 dias,https://maavsl.github.io/WEB1/7dias.html,
