,,
,,
,,
Nombre de la vivienda,Milu,
Dirección,"Calle Falúa 8, apt 202 (Corralejo)",
Link maps,https://maps.app.goo.gl/5uZTXoHjBMg823zTA,
Link video,https://www.youtube.com/watch?v=ZemOmiGJ454,
Codigo Caja,3202,
Piscina,n/a,
Como llegar,,
,Taxi,(aprox) 65eur
,Te podemos llevar,(max 2p) 45eur
,Bus,L3+L6
Link Normas,https://maavsl.github.io/WEB1/reglas.html,
telefono,00 34 688 91 07 40,
Fotos,n/a,
Parking,n/a,
Basura,https://maps.app.goo.gl/eYQN1bkqqcfCa2Uu9,
Supermercados,https://maps.app.goo.gl/DYohxxA2XrwkjimF9,
Playas y Actividades,https://visitfuerte.my.canva.site/mapa,
Restaurantes,https://maavsl.github.io/WEB1/restaurantes.html,
Fuerte en 7 dias,https://maavsl.github.io/WEB1/7dias.html,
