,,
,,
,,
Nombre de la vivienda,Zarate,
Dirección,"C/ Calle General Prim, 20, apt 2A, Corralejo",
Link maps,https://maps.app.goo.gl/3JUAqytBQSXU4GBNA,
Link video,https://www.youtube.com/watch?v=21Hg_jpCUPQ,
Codigo Caja,3202,
Piscina,n/a,
Como llegar,,
,Taxi,(aprox) 65eur
,Te podemos llevar,(max 2p) 45eur
,Bus,L3+L6
Link Normas,https://maavsl.github.io/WEB1/reglas.html,
telefono,00 34 688 91 07 40,
Fotos,n/a,
Parking,n/a,
Basura,https://maps.app.goo.gl/HcdW1JUAxc3cJcrr5,
Supermercados,https://maps.app.goo.gl/cgzocWsQdUFJaYbv8,
Playas y Actividades,https://visitfuerte.my.canva.site/mapa,
Restaurantes,https://maavsl.github.io/WEB1/restaurantes.html,
Fuerte en 7 dias,https://maavsl.github.io/WEB1/7dias.html,
